LY86_Treated_Sample1 LY86_Treated_Sample2 LY86_Treated_Sample3 LY86_Treated_Sample4 LY86_Treated_SampleComb
ABCA3 0.050552466 0.027991732 -0.579137559 -0.054861112 -0.138863618
ABCA4 0.212803068 -0.213033949 -0.494972313 -0.014000544 -0.127300934
ABCA5 0.026625963 0.770525119 -0.13994366 0.479062305 0.284067432
ABCA6 0.216249527 0.283058619 0.163643452 0.478229572 0.285295293
ABCA7 0.279903072 0.263537425 -0.380552381 -0.243225864 -0.020084437
ABCA8 0.315457044 0.363520286 -0.088991918 0.112387969 0.175593345
ABCA9 0.630446625 0.879675931 0.211519495 1.255314613 0.744239166
ABCB10 0.018588315 0.005358714 -0.335489072 -0.18384535 -0.123846848
ABCB1 0.113267104 -0.166068388 -0.536396807 0.045734103 -0.135865997
ABCB4 0.123955591 0.469108344 -0.025251608 -0.170301941 0.099377597
ABCB6 -0.084089439 -0.44615277 -0.367678712 -0.246397303 -0.286079556
ABCB7 -0.21726708 -0.144390781 -0.155971005 0.022433833 -0.123798758
ABCB8 -0.151447431 0.101108542 -0.443533466 -0.232827555 -0.181674978
ABCB9 -0.055056705 -0.365523234 -0.773526614 -0.854338659 -0.512111303
ABCC1 0.237834978 -0.224464922 -0.356929287 -0.029078987 -0.093159554
ABCC10 0.079854837 0.330397123 -0.693568462 -0.391593628 -0.168727533
ABCC2 0.068557909 0.069777203 0.009235661 -0.108820101 0.009687668
ABCC3 0.536543092 0.477222148 1.144902447 0.694675519 0.713335802
ABCC4 -0.067415553 -0.245379532 -0.525391773 -0.216206396 -0.263598313
ABCC5 0.360285283 0.339008693 -0.371250999 0.25900527 0.146762062
ABCC9 -0.111986058 -0.699990651 -0.38360074 0.998321512 -0.049313984
ABCD1 0.57559712 0.545486955 0.06095649 0.381378378 0.390854736
ABCD2 0.448513823 0.180729973 0.540726109 0.504200233 0.418542535
ABCD3 -0.133329289 -0.1159981 -0.043225658 0.090027141 -0.050631476
ABCD4 0.30467912 0.200705946 0.075881921 -0.170919755 0.102586808
ABCE1 -0.206168177 -0.371562696 -0.301693127 -0.041364491 -0.230197123
ABCF1 -0.047131364 -0.075573214 -0.195404492 -0.175185921 -0.123323748
ABCF2 -0.221194611 -0.260892428 -0.217732597 -0.176661175 -0.219120203
ABCF3 0.033153973 0.215624213 -0.100188907 0.424278174 0.143216863
ABCG1 1.389206567 1.153946756 0.264282961 1.644131032 1.112891829
ABCG2 -0.131668235 0.063326445 0.018458117 0.089417273 0.0098834
ABCG4 0.646650286 -0.122660445 -0.012837167 0.217088927 0.1820604
ABCG8 -0.055827631 -0.119856537 -0.084523463 -0.168355054 -0.107140671
